cond,age,color,breed,target
normal,Adult,brown,pit bull,1
normal,Adult,black,pit bull,1
normal,Young,chocolate,labrador retriever,0
normal,Adult,black,pit bull,1
normal,Adult,brown,pit bull,1
normal,Young,black,labrador retriever,0
normal,Adult,red,rhodesian ridgeback,1
injured,Young,tan,pit bull,1
normal,Young,brown,labrador retriever,1
normal,Young,black,chihuahua,0
normal,Adult,blue,pit bull,1
normal,Baby,black,german shepherd,1
normal,Baby,black,german shepherd,1
normal,Baby,sable,german shepherd,1
normal,Baby,brown,german shepherd,1
normal,Baby,black,german shepherd,0
normal,Baby,black,german shepherd,0
normal,Baby,black,german shepherd,1
normal,Baby,black,german shepherd,1
normal,Baby,black,german shepherd,1
normal,Adult,white,labrador retriever,0
normal,Adult,blue,pit bull,1
normal,Young,brown,german shepherd,0
normal,Baby,tan,german shepherd,0
normal,Young,blue,australian cattle dog,0
normal,Adult,black,beauceron,1
normal,Baby,chocolate,labrador retriever,0
normal,Adult,brown,labrador retriever,1
normal,Baby,white,australian shepherd,1
normal,Young,black,labrador retriever,1
normal,Adult,sable,chihuahua,0
normal,Senior,brown,australian shepherd,0
normal,Young,black,labrador retriever,1
normal,Young,black,labrador retriever,1
normal,Baby,red,german shepherd,0
normal,Senior,cream,papillon,0
normal,Adult,red,boxer,1
normal,Young,red,whippet,1
normal,Young,tan,labrador retriever,0
normal,Young,brown,pit bull,1
normal,Young,black,yorkshire terrier,0
normal,Young,blue,pit bull,0
normal,Adult,tan,border collie,0
normal,Adult,white,norfolk terrier,0
normal,Young,tan,chihuahua,0
normal,Adult,black,labrador retriever,1
normal,Adult,black,rottweiler,1
normal,Young,tan,pit bull,0
normal,Young,brown,german shepherd,1
normal,Baby,chocolate,labrador retriever,0
normal,Adult,brown,chihuahua,1
normal,Adult,brown,bulldog,0
normal,Young,white,german shepherd,0
normal,Young,red,vizsla,1
normal,Adult,black,norfolk terrier,0
normal,Young,black,dachshund,1
normal,Baby,blue,pit bull,0
normal,Adult,white,pit bull,0
normal,Adult,tan,pit bull,0
normal,Adult,black,boxer,0
injured,Young,blue,chihuahua,1
normal,Young,white,great pyrenees,0
normal,Baby,black,jack russell terrier,0
normal,Baby,tan,chihuahua,1
normal,Baby,white,chihuahua,1
normal,Baby,white,chihuahua,1
normal,Baby,white,chihuahua,1
normal,Baby,brown,chihuahua,1
normal,Adult,black,australian cattle dog,0
normal,Young,tricolor,australian cattle dog,1
normal,Adult,white,pointer,0
normal,Young,white,dachshund,0
