id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returndate,returnedreason,deceaseddate,deceasedreason,diedoffshelter,puttosleep,isdoa
47635,3/11/17 0:00,Abandoned,0,C17031642,9.8102E+14,Ed,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,5/7/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47636,3/11/17 0:00,Abandoned,0,C17031643,9.8102E+14,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,5/2/17 0:00,Stray,,Died in care,0,0,0
47636,3/11/17 0:00,Abandoned,0,C17031643,9.8102E+14,Tux,Domestic Short Hair,Black and White,Cat,1 year 8 months.,Male,Feline Nursery,5/4/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47637,3/11/17 0:00,Abandoned,0,C17031644,9.8102E+14,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,4/6/17 0:00,Foster,0,5/2/17 0:00,Stray,,Died in care,0,0,0
47637,3/11/17 0:00,Abandoned,0,C17031644,9.8102E+14,Trouble,Domestic Short Hair,White,Cat,1 year 8 months.,Male,Feline Nursery,5/7/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47638,3/11/17 0:00,Abandoned,0,C17031645,9.8102E+14,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,4/6/17 0:00,Foster,0,4/24/17 0:00,Stray,,Died in care,0,0,0
47638,3/11/17 0:00,Abandoned,0,C17031645,9.8102E+14,Samantha,Domestic Short Hair,Black and White,Cat,4 years 8 months.,Female,Adoptable Cat Kennels,5/6/17 0:00,Adoption,0,,Stray,,Died in care,0,0,0
47639,3/11/17 0:00,Abandoned,0,D17031646,9.8102E+14,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoptable Dogs,3/31/17 0:00,Adoption,0,4/1/17 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
47639,3/11/17 0:00,Abandoned,0,D17031646,9.8102E+14,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoptable Dogs,4/2/17 0:00,Adoption,0,3/9/19 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
47639,3/11/17 0:00,Abandoned,0,D17031646,9.8102E+14,Apollo,Labrador Retriever/Collie,Black,Dog,3 years 0 months.,Male,Adoptable Dogs,3/22/19 0:00,Adoption,0,5/6/19 0:00,Incompatible with owner lifestyle,,Died in care,0,0,0
