breed,classification,obey,reps_lower,reps_upper,height_low_inches,height_high_inches,weight_low_lbs,weight_high_lbs,purebred,breed_1,breed_2
cattle shepherd,,0.95,1.0,4.0,19.5,23.0,55.0,67.5,0,australian cattle dog,german shepherd
cava inu,,0.5,26.0,40.0,11.5,15.5,15.0,25.0,0,cavalier king charles spaniel,shiba inu
cavachon,,0.5,26.0,40.0,9.75,13.25,12.5,19.0,0,bichon frise,cavalier king charles spaniel
cavador,,0.725,13.5,22.0,15.5,19.5,35.0,50.0,0,cavalier king charles spaniel,labrador retriever
cavapom,,0.675,15.5,27.5,11.0,13.5,9.0,13.5,0,cavalier king charles spaniel,pomeranian
cavestie,,0.5,26.0,40.0,10.5,13.0,14.0,17.5,0,cavalier king charles spaniel,west highland white terrier
chabrador,,0.525,41.0,52.0,20.0,23.0,50.0,67.5,0,chow chow,labrador retriever
chatham hill retriever,,0.85,5.0,15.0,18.5,19.5,41.0,49.0,0,flat-coated retriever,cocker spaniel
cheagle,,0.2,61.0,90.0,9.5,12.5,10.0,17.5,0,chihuahua,beagle
chesador,,0.825,8.5,14.5,21.0,25.0,55.0,77.5,0,chesapeake bay retriever,labrador retriever
crested boxer,,0.4,33.5,60.0,16.0,19.0,35.0,41.0,0,chinese crested,boxer
chestie,,0.4,33.5,60.0,8.5,10.0,7.5,10.0,0,chihuahua,west highland white terrier
chi-chi,,0.3,41.0,80.0,8.5,11.0,3.5,8.5,0,chihuahua,chinese crested
chi-chon,,0.4,33.5,60.0,7.75,10.25,6.0,11.5,0,bichon frise,chihuahua
chidale,,0.5,28.5,52.5,14.0,16.5,23.5,25.0,0,chihuahua,airedale terrier
chi-spaniel,,0.575,23.0,47.5,10.5,12.5,12.0,16.5,0,chihuahua,cocker spaniel
chi staffy bull,,0.4,33.5,60.0,10.0,12.5,13.0,16.5,0,chihuahua,staffordshire bull terrier
chimation,,0.5,28.5,52.5,12.5,16.0,23.5,37.5,0,chihuahua,dalmatian
chin crested,,0.3,41.0,80.0,9.5,12.0,4.5,11.5,0,chinese crested,japanese chin
chin-fenpinscher,,0.5,28.5,52.5,8.5,11.5,6.0,11.5,0,affenpinscher,japanese chin
chin-ocker,,0.575,23.0,47.5,11.5,13.5,13.0,19.5,0,cocker spaniel,japanese chin
chin-wa,,0.3,41.0,80.0,7.0,10.0,3.0,8.0,0,chihuahua,japanese chin
chinaranian,,0.575,23.0,47.5,11.5,12.5,4.0,9.5,0,chinese crested,pomeranian
chineranian,,0.575,23.0,47.5,10.0,11.5,3.5,9.0,0,japanese chin,pomeranian
chinese crestese,,0.3,41.0,80.0,9.5,11.5,4.5,9.0,0,chinese crested,maltese
chinese frise,,0.4,33.5,60.0,10.25,12.25,7.5,15.0,0,bichon frise,chinese crested
chion,,0.625,21.0,42.0,7.0,10.0,3.5,7.5,0,chihuahua,papillon
chipit,,0.5,28.5,52.5,11.5,14.0,21.0,27.5,0,chihuahua,american pit bull terrier
chisenji,,0.2,61.0,90.0,11.5,13.0,11.0,13.5,0,chihuahua,basenji
